x, true, terminal, branch
-4.345119850134588901e+00,9.899999999999999911e-01,9.871961121290003804e-01,9.894458055496215820e-01
-4.254814398616718840e+00,9.890652487555628980e-01,9.860029727064100191e-01,9.884353876113891602e-01
-4.164508947098847891e+00,9.880441767261488595e-01,9.847003728654019072e-01,9.871600866317749023e-01
-4.074203495580977830e+00,9.869290184432709667e-01,9.832786054864606218e-01,9.863748550415039062e-01
-3.983898044063106880e+00,9.857113499523791900e-01,9.817271675316652235e-01,9.849413037300109863e-01
-3.893592592545236375e+00,9.843820408132957223e-01,9.800347074361714927e-01,9.837331771850585938e-01
-3.803287141027365870e+00,9.829312041729246774e-01,9.781889715775310412e-01,9.821226000785827637e-01
-3.712981689509495808e+00,9.813481451827287261e-01,9.761767504131926287e-01,9.805548787117004395e-01
-3.622676237991624859e+00,9.796213081313692728e-01,9.739838250313119783e-01,9.789338111877441406e-01
-3.532370786473754798e+00,9.777382227793641745e-01,9.715949150394709299e-01,9.771033525466918945e-01
-3.442065334955883849e+00,9.756854505198706562e-01,9.689936289220262289e-01,9.750164151191711426e-01
-3.351759883438013787e+00,9.734485311500157279e-01,9.661624182310490916e-01,9.730867147445678711e-01
-3.261454431920143282e+00,9.710119312226813681e-01,9.630825372389907324e-01,9.702374339103698730e-01
-3.171148980402272777e+00,9.683589951611754065e-01,9.597340099731224150e-01,9.677912592887878418e-01
-3.080843528884402271e+00,9.654719005601174464e-01,9.560956068708365008e-01,9.649457931518554688e-01
-2.990538077366531766e+00,9.623316193657636131e-01,9.521448336375768484e-01,9.618120193481445312e-01
-2.900232625848661261e+00,9.589178869273926598e-01,9.478579352495533072e-01,9.585527181625366211e-01
-2.809927174330790756e+00,9.552091812362805134e-01,9.432099184124620450e-01,9.549080133438110352e-01
-2.719621722812920250e+00,9.511827150162026623e-01,9.381745961523684230e-01,9.509919285774230957e-01
-2.629316271295049745e+00,9.468144436927308227e-01,9.327246585583763849e-01,9.463638067245483398e-01
-2.539010819777179240e+00,9.420790926379937202e-01,9.268317739961490220e-01,9.417114257812500000e-01
-2.448705368259308734e+00,9.369502074492582766e-01,9.204667253383703729e-01,9.363893270492553711e-01
-2.358399916741438673e+00,9.314002313551654755e-01,9.135995858782308687e-01,9.311637878417968750e-01
-2.268094465223567724e+00,9.254006141288776410e-01,9.061999395641036070e-01,9.250086545944213867e-01
-2.177789013705697663e+00,9.189219570929353376e-01,8.982371499710878338e-01,9.183867573738098145e-01
-2.087483562187827157e+00,9.119341988902208707e-01,8.896806819567912861e-01,9.112041592597961426e-01
-1.997178110669956652e+00,9.044068466267876083e-01,8.805004791809867282e-01,9.037225842475891113e-01
-1.906872659152086147e+00,8.963092567175754422e-01,8.706673995488748430e-01,8.960210680961608887e-01
-1.816567207634215642e+00,8.876109692331816126e-01,8.601537091185267325e-01,8.872688412666320801e-01
-1.726261756116345136e+00,8.782820987011157321e-01,8.489336330592189839e-01,8.778384923934936523e-01
-1.635956304598474631e+00,8.682937831064723166e-01,8.369839598425088401e-01,8.681277036666870117e-01
-1.545650853080604126e+00,8.576186912196861467e-01,8.242846920033195524e-01,8.577179908752441406e-01
-1.455345401562733620e+00,8.462315863213073497e-01,8.108197335718680954e-01,8.466211557388305664e-01
-1.365039950044863115e+00,8.341099418848213487e-01,7.965776007418864380e-01,8.345850110054016113e-01
-1.274734498526992610e+00,8.212346018374266921e-01,7.815521386509236557e-01,8.219070434570312500e-01
-1.184429047009122105e+00,8.075904747029387654e-01,7.657432235044240310e-01,8.084474802017211914e-01
-1.094123595491251599e+00,7.931672473450018801e-01,7.491574259299264016e-01,7.941565513610839844e-01
-1.003818143973381094e+00,7.779601003298829420e-01,7.318086086991133499e-01,7.789549827575683594e-01
-9.135126924555105887e-01,7.619704033288584588e-01,7.137184301294715594e-01,7.627354264259338379e-01
-8.232072409376400834e-01,7.452063657452026035e-01,6.949167239025153542e-01,7.457748651504516602e-01
-7.329017894197695782e-01,7.276836151862995372e-01,6.754417270096373382e-01,7.278083562850952148e-01
-6.425963379018995170e-01,7.094256748365299625e-01,6.553401302878523182e-01,7.091009020805358887e-01
-5.522908863840290117e-01,6.904643105459196128e-01,6.346669306542342959e-01,6.900992989540100098e-01
-4.619854348661585064e-01,6.708397198183287946e-01,6.134850706616428173e-01,6.702173948287963867e-01
-3.716799833482880011e-01,6.506005380674404481e-01,5.918648591791233482e-01,6.502715349197387695e-01
-2.813745318304174958e-01,6.298036425963036145e-01,5.698831764664580302e-01,6.300667524337768555e-01
-1.910690803125465465e-01,6.085137416805328492e-01,5.476224771129766244e-01,6.094595789909362793e-01
-1.007636287946764853e-01,5.868027446542625203e-01,5.251696145623163670e-01,5.878401994705200195e-01
-1.045817727680642406e-02,5.647489185887959451e-01,5.026145204893130991e-01,5.653284192085266113e-01
7.984727424106452531e-02,5.424358474309640687e-01,4.800487803752561122e-01,5.425337553024291992e-01
1.701527257589345865e-01,5.199512196247442208e-01,4.575641525690361533e-01,5.195394158363342285e-01
2.604581772768055359e-01,4.973854795106871229e-01,4.352510814112042770e-01,4.964528977870941162e-01
3.507636287946755971e-01,4.748303854376837441e-01,4.131972553457377018e-01,4.737009406089782715e-01
4.410690803125465465e-01,4.523775228870233756e-01,3.914862583194671508e-01,4.514876008033752441e-01
5.313745318304166076e-01,4.301168235335423029e-01,3.701963574036964966e-01,4.292464256286621094e-01
6.216799833482875570e-01,4.081351408208767628e-01,3.493994619325596629e-01,4.074439406394958496e-01
7.119854348661576182e-01,3.865149293383574047e-01,3.291602801816714274e-01,3.860151469707489014e-01
8.022908863840285676e-01,3.653330693457658152e-01,3.095356894540804982e-01,3.651073575019836426e-01
8.925963379018986288e-01,3.446598697121480148e-01,2.905743251634703705e-01,3.444584012031555176e-01
9.829017894197695782e-01,3.245582729903626618e-01,2.723163848137004628e-01,3.244314789772033691e-01
1.073207240937639639e+00,3.050832760974846458e-01,2.547936342547976185e-01,3.049234449863433838e-01
1.163512692455510589e+00,2.862815698705284406e-01,2.380295966711415412e-01,2.859727740287780762e-01
1.253818143973380650e+00,2.681913913008867612e-01,2.220398996701170580e-01,2.679871022701263428e-01
1.344123595491251599e+00,2.508425740700734874e-01,2.068327526549981199e-01,2.502762675285339355e-01
1.434429047009121660e+00,2.342567764955760801e-01,1.924095252970613457e-01,2.337457835674285889e-01
1.524734498526991722e+00,2.184478613490764554e-01,1.787653981625735300e-01,2.182249128818511963e-01
1.615039950044862671e+00,2.034223992581136731e-01,1.658900581151787623e-01,2.034899443387985229e-01
1.705345401562732732e+00,1.891802664281320157e-01,1.537684136786928724e-01,1.893515884876251221e-01
1.795650853080603682e+00,1.757153079966806697e-01,1.423813087803139643e-01,1.758897602558135986e-01
1.885956304598473743e+00,1.630160401574912710e-01,1.317062168935277944e-01,1.635552942752838135e-01
1.976261756116344692e+00,1.510663669407811271e-01,1.217179012988842679e-01,1.515469849109649658e-01
2.066567207634214753e+00,1.398462908814733785e-01,1.123890307668184985e-01,1.402997970581054688e-01
2.156872659152085703e+00,1.293326004511251570e-01,1.036907432824245578e-01,1.296215504407882690e-01
2.247178110669955764e+00,1.194995208190133829e-01,9.559315337321261374e-02,1.197411268949508667e-01
2.337483562187826713e+00,1.103193180432087139e-01,8.806580110977924036e-02,1.106056794524192810e-01
2.427789013705696775e+00,1.017628500289122773e-01,8.107804290706477346e-02,1.019969359040260315e-01
2.518094465223567724e+00,9.380006043589639297e-02,7.459938587112224795e-02,9.415287524461746216e-02
2.608399916741437785e+00,8.640041412176935332e-02,6.859976864483463554e-02,8.638215065002441406e-02
2.698705368259308734e+00,7.953327466162951609e-02,6.304979255074183442e-02,7.963414490222930908e-02
2.789010819777178796e+00,7.316822600385108899e-02,5.792090736200639078e-02,7.333235442638397217e-02
2.879316271295049745e+00,6.727534144162361507e-02,5.318555630726928829e-02,6.747794151306152344e-02
2.969621722812919806e+00,6.182540384763146601e-02,4.881728498379733772e-02,6.211207434535026550e-02
3.059927174330789867e+00,5.679008158753795499e-02,4.479081876371948656e-02,5.708853155374526978e-02
3.150232625848660817e+00,5.214206475044680378e-02,4.108211307260745127e-02,5.243313312530517578e-02
3.240538077366530878e+00,4.785516636242315158e-02,3.766838063423638694e-02,4.845896363258361816e-02
3.330843528884401827e+00,4.390439312916361025e-02,3.452809943988244257e-02,4.438725858926773071e-02
3.421148980402271889e+00,4.026599002687758500e-02,3.164100483882470449e-02,4.071084409952163696e-02
3.511454431920142838e+00,3.691746276100926760e-02,2.898806877731863185e-02,3.728138655424118042e-02
3.601759883438012899e+00,3.383758176895079739e-02,2.655146884998438317e-02,3.416885063052177429e-02
3.692065334955882960e+00,3.100637107797388214e-02,2.431454948012923278e-02,3.126583620905876160e-02
3.782370786473753910e+00,2.840508496052907006e-02,2.226177722063593656e-02,2.859648503363132477e-02
3.872676237991624859e+00,2.601617496868791068e-02,2.037869186863072724e-02,2.610011026263237000e-02
3.962981689509495808e+00,2.382324958680737126e-02,1.865185481727127392e-02,2.393939346075057983e-02
4.053287141027364981e+00,2.181102842246906981e-02,1.706879582707532261e-02,2.180835232138633728e-02
4.143592592545235931e+00,1.996529256382839623e-02,1.561795918670438876e-02,2.022252790629863739e-02
4.233898044063106880e+00,1.827283246833488750e-02,1.428865004762081004e-02,1.844414137303829193e-02
4.324203495580976053e+00,1.672139451353948925e-02,1.307098155672903328e-02,1.674674078822135925e-02
4.414508947098847003e+00,1.529962713459809276e-02,1.195582327385114052e-02,1.552193891257047653e-02
4.504814398616717952e+00,1.399702729358986986e-02,1.093475124443721302e-02,1.421275269240140915e-02
4.595119850134589790e+00,1.280388787099950854e-02,1.000000000000000888e-02,1.299779117107391357e-02
