x, branch
-5.000000000000000000e+00,3.343336181640625000e+02
-3.888888835906982422e+00,1.595290374755859375e+02
-2.777777671813964844e+00,6.647167968750000000e+01
-1.666666507720947266e+00,2.452768516540527344e+01
-5.555553436279296875e-01,4.205520153045654297e+00
5.555553436279296875e-01,-1.416516399383544922e+01
1.666666507720947266e+00,-1.470868015289306641e+01
2.777777671813964844e+00,6.582478332519531250e+01
3.888888835906982422e+00,2.872049865722656250e+02
5.000000000000000000e+00,8.391121215820312500e+02
